date,RECESSION,CPI,FEDFUNDS,INDPRO,PAYEMS,SP500,UNEMPLOY,YC
8/1/1980,n,0.009840178,-0.44,-0.007750261,-0.002900953,0.063010964,0.265,1.94
9/1/1980,n,0.009744291,0.58,0.00358543,0.002878755,0.005818488,-0.082,0.99
10/1/1980,n,0.001211387,1.26,0.01608913,0.001264475,0.024856041,-0.26,-0.35
11/1/1980,n,0.007237667,1.94,0.012538218,0.003065807,0.015894076,0.067,-3.13
12/1/1980,n,0.008378266,3.04,0.017114773,0.002836067,0.097468805,-0.065,-6.47
1/1/1981,n,0.009489988,3.05,0.005640445,0.002157522,-0.034461272,-0.305,-6.4
2/1/1981,n,0.010569681,0.18,-0.005733833,0.000989142,-0.046821654,0.353,-2.5
3/1/1981,n,0.009302393,-3.15,-0.004600133,0.000790609,0.013189371,-0.02,-1.57
4/1/1981,n,0.009216655,-1.23,0.005280332,0.001151853,0.035398584,-0.069,-1.61
5/1/1981,n,0.009132484,1.02,-0.004455413,0.000800031,-0.023735365,-0.113,-5.02
6/1/1981,n,0.006795043,2.8,0.005936151,0.000142404,-0.00165789,0.305,-5.24
7/1/1981,n,0.005627477,0.58,0.0047074,0.002122702,-0.010462483,-0.076,-4.37
8/1/1981,y,0.006711435,-0.06,0.006541317,0.001212512,-0.002212712,-0.235,-2.41
9/1/1981,y,0.008879082,-1.22,-0.000135411,-0.000393086,-0.064110847,0.173,-0.03
10/1/1981,y,0.010989122,-1.95,-0.005970629,-0.000961528,-0.055334875,0.194,-0.45
11/1/1981,y,0.007621158,-0.79,-0.00676818,-0.001060938,0.047978278,0.416,-0.18
12/1/1981,y,0.009714054,-1.77,-0.011512845,-0.002289772,0.035936828,0.383,1.61
1/1/1982,y,0.003217161,-0.94,-0.010978454,-0.00303187,-0.030536684,0.238,0.92
2/1/1982,y,0.004273511,0.85,-0.020134162,-0.003637169,-0.017699585,0.13,-0.75
3/1/1982,y,0.003193191,1.56,0.01963138,-2.21E-05,-0.062458744,0.308,-0.5
4/1/1982,y,0.003183027,-0.1,-0.007654716,-0.001425438,-0.01021915,0.19,-1.07
5/1/1982,y,0.003172927,0.26,-0.008832775,-0.003145353,0.03923448,0.349,-0.74
6/1/1982,y,0,-0.49,-0.006455246,-0.000477097,-0.039949295,0.091,0.29
7/1/1982,y,0.003162891,-0.3,-0.003372388,-0.002689309,-0.020498221,0.203,1.09
8/1/1982,y,0.00942909,-1.56,-0.003114762,-0.00383531,-0.023259055,0.311,2.69
9/1/1982,y,0.011404997,-2.47,-0.00880125,-0.001766508,0.109730502,0.032,1.42
10/1/1982,y,0.0051414,0.19,-0.003068865,-0.002016288,0.007585549,0.336,1
11/1/1982,y,0.002049181,-0.6,-0.008949856,-0.003099559,0.104762454,0.312,1.59
12/1/1982,n,0,-0.51,-0.004013174,-0.0013619,0.035338832,0.409,1.41
1/1/1983,n,0.004085808,-0.25,-0.007220606,-0.00016896,0.015116525,0.113,2.12
2/1/1983,n,-0.001019888,-0.27,0.019171464,0.002463984,0.032597164,-0.517,1.76
3/1/1983,n,-0.00306592,-0.17,-0.006270611,-0.000820654,0.018816992,0.011,1.85
